,Actual,Date,Forecasted
2003-04-11,-0.16030534351145043,2003-04-11,-0.09608893096446991
2003-04-14,-0.12387096774193551,2003-04-14,-0.08821600675582886
2003-04-15,-0.11791831357048743,2003-04-15,-0.07511093467473984
2003-04-16,-0.1266490765171504,2003-04-16,-0.080781489610672
2003-04-17,-0.12358049432197737,2003-04-17,-0.07691428065299988
2003-04-21,-0.10184552289815452,2003-04-21,-0.06390682607889175
2003-04-22,-0.09632107023411374,2003-04-22,-0.0917939841747284
2003-04-23,-0.07932203389830506,2003-04-23,-0.0857749730348587
2003-04-24,-0.12041884816753923,2003-04-24,-0.12084592878818512
2003-04-25,-0.13815364751452552,2003-04-25,-0.13529770076274872
2003-04-28,-0.0875576036866359,2003-04-28,-0.1215476244688034
2003-04-29,-0.04935767410412428,2003-04-29,-0.09906627237796783
2003-04-30,-0.042424242424242364,2003-04-30,-0.10103646665811539
2003-05-01,-0.04774535809018576,2003-05-01,-0.11095809191465378
2003-05-02,-0.00823610157858623,2003-05-02,-0.07538577169179916
2003-05-05,0.13309859154929593,2003-05-05,-0.04495614767074585
2003-05-06,0.2376237623762376,2003-05-06,-0.02794395200908184
2003-05-07,0.21808143547273962,2003-05-07,-0.030328797176480293
2003-05-08,0.2534818941504178,2003-05-08,0.005609787069261074
2003-05-09,0.27083333333333326,2003-05-09,0.033165596425533295
2003-05-12,0.32005689900426737,2003-05-12,0.09233013540506363
2003-05-13,0.3269367448471927,2003-05-13,0.12514379620552063
2003-05-14,0.2944870900209351,2003-05-14,0.13539233803749084
2003-05-15,0.26554054054054044,2003-05-15,0.1250511258840561
2003-05-16,0.261744966442953,2003-05-16,0.14192116260528564
2003-05-19,0.21476510067114107,2003-05-19,0.16405420005321503
2003-05-20,0.19797979797979792,2003-05-20,0.1849183738231659
2003-05-21,0.2268041237113403,2003-05-21,0.2226703017950058
2003-05-22,0.24250681198910073,2003-05-22,0.2179708033800125
2003-05-23,0.2445652173913042,2003-05-23,0.21985015273094177
2003-05-27,0.2904989747095008,2003-05-27,0.2326878011226654
2003-05-28,0.25119780971937034,2003-05-28,0.24058721959590912
2003-05-29,0.25433125433125436,2003-05-29,0.26209670305252075
2003-05-30,0.22777017783857723,2003-05-30,0.24647337198257446
2003-06-02,0.23758865248226946,2003-06-02,0.2978321313858032
2003-06-03,0.2346647646219686,2003-06-03,0.30312368273735046
2003-06-04,0.26801152737752165,2003-06-04,0.3120972514152527
2003-06-05,0.24488355681016238,2003-06-05,0.2766387164592743
2003-06-06,0.24275362318840554,2003-06-06,0.30906856060028076
2003-06-09,0.18825194621372954,2003-06-09,0.268277645111084
2003-06-10,0.17832647462277085,2003-06-10,0.21645240485668182
2003-06-11,0.19684499314128945,2003-06-11,0.20858822762966156
2003-06-12,0.24092178770949713,2003-06-12,0.2267603874206543
2003-06-13,0.21309192200557114,2003-06-13,0.21982228755950928
2003-06-16,0.2462482946793998,2003-06-16,0.18999648094177246
2003-06-17,0.24589041095890418,2003-06-17,0.19685111939907074
2003-06-18,0.3231833910034603,2003-06-18,0.21412716805934906
2003-06-19,0.32640332640332637,2003-06-19,0.2244795262813568
2003-06-20,0.35689045936395747,2003-06-20,0.2626054286956787
2003-06-23,0.3282229965156793,2003-06-23,0.2561500072479248
2003-06-24,0.3087108013937283,2003-06-24,0.26869750022888184
2003-06-25,0.326615705350938,2003-06-25,0.2753785252571106
2003-06-26,0.32668500687757906,2003-06-26,0.27077654004096985
2003-06-27,0.2767552828902522,2003-06-27,0.26794466376304626
2003-06-30,0.24819908316961348,2003-06-30,0.2199803739786148
2003-07-01,0.2855218855218855,2003-07-01,0.26345542073249817
2003-07-02,0.30467163168584976,2003-07-02,0.2759591341018677
2003-07-03,0.2753333333333332,2003-07-03,0.25937020778656006
2003-07-07,0.3480325644504749,2003-07-07,0.2879441976547241
2003-07-08,0.35818908122503323,2003-07-08,0.267739862203598
2003-07-09,0.37172413793103454,2003-07-09,0.32739612460136414
2003-07-10,0.31763122476446837,2003-07-10,0.30097851157188416
2003-07-11,0.32245169886742175,2003-07-11,0.2936796545982361
2003-07-14,0.3583617747440271,2003-07-14,0.335263729095459
2003-07-15,0.3468406593406592,2003-07-15,0.3504146933555603
2003-07-16,0.35909712722298237,2003-07-16,0.3485708236694336
2003-07-17,0.4354395604395602,2003-07-17,0.35858240723609924
2003-07-18,0.43558155540261545,2003-07-18,0.36913955211639404
2003-07-21,0.43423799582463474,2003-07-21,0.3951577842235565
2003-07-22,0.46170063246661974,2003-07-22,0.41928115487098694
2003-07-23,0.462025316455696,2003-07-23,0.4296373724937439
2003-07-24,0.3933423913043479,2003-07-24,0.3851992189884186
2003-07-25,0.4573748308525034,2003-07-25,0.3857765197753906
2003-07-28,0.3984010659560293,2003-07-28,0.3715658485889435
2003-07-29,0.3813333333333333,2003-07-29,0.38054221868515015
2003-07-30,0.35652173913043494,2003-07-30,0.3915700614452362
2003-07-31,0.41381623071763896,2003-07-31,0.39834141731262207
2003-08-01,0.3820000000000001,2003-08-01,0.3925909698009491
2003-08-04,0.47599164926931126,2003-08-04,0.4618546962738037
2003-08-05,0.4006872852233676,2003-08-05,0.44568681716918945
2003-08-06,0.3622484385843163,2003-08-06,0.46175938844680786
2003-08-07,0.3754313319530711,2003-08-07,0.44908908009529114
2003-08-08,0.3479752916952643,2003-08-08,0.4349297285079956
2003-08-11,0.3903818953323903,2003-08-11,0.47500744462013245
2003-08-12,0.39124293785310726,2003-08-12,0.4642886221408844
2003-08-13,0.38219178082191774,2003-08-13,0.4076804518699646
2003-08-14,0.38105117565698454,2003-08-14,0.41676950454711914
