,Actual,Date,Forecasted
2012-09-05,0.14780966512663163,2012-09-05,0.14635108411312103
2012-09-06,0.14501817229298308,2012-09-06,0.11145342141389847
2012-09-07,0.14725999577586069,2012-09-07,0.10716846585273743
2012-09-10,0.1533979623747057,2012-09-10,0.1307363510131836
2012-09-11,0.13848911988684032,2012-09-11,0.13727031648159027
2012-09-12,0.12638580931263865,2012-09-12,0.13055668771266937
2012-09-13,0.11194405946831276,2012-09-13,0.0906706154346466
2012-09-14,0.12237861774474146,2012-09-14,0.09899860620498657
2012-09-17,0.1216645338641642,2012-09-17,0.10238207876682281
2012-09-18,0.13529746475311377,2012-09-18,0.10768269002437592
2012-09-19,0.15705765407554662,2012-09-19,0.12118390947580338
2012-09-20,0.1353228447133299,2012-09-20,0.1057184562087059
2012-09-21,0.1418281945179054,2012-09-21,0.1112876608967781
2012-09-24,0.16991913073344378,2012-09-24,0.12413103133440018
2012-09-25,0.16649798358843393,2012-09-25,0.13205143809318542
2012-09-26,0.17297423523001476,2012-09-26,0.1426142305135727
2012-09-27,0.17834890965732098,2012-09-27,0.15333782136440277
2012-09-28,0.14316449750761362,2012-09-28,0.12824657559394836
2012-10-01,0.13926360183052666,2012-10-01,0.1189516931772232
2012-10-02,0.1339994607064745,2012-10-02,0.12705253064632416
2012-10-03,0.1332055226120945,2012-10-03,0.12095919251441956
2012-10-04,0.13425584074194408,2012-10-04,0.11637119203805923
2012-10-05,0.13635017911596647,2012-10-05,0.1228451207280159
2012-10-08,0.13193230870338013,2012-10-08,0.1369403451681137
2012-10-09,0.09880681650373613,2012-10-09,0.12332619726657867
2012-10-10,0.10011820330969257,2012-10-10,0.11968472599983215
2012-10-11,0.1073486288551937,2012-10-11,0.11023637652397156
2012-10-12,0.11286273572218408,2012-10-12,0.12185047566890717
2012-10-15,0.09410114433370254,2012-10-15,0.10258693248033524
2012-10-16,0.08239705818229393,2012-10-16,0.07924704253673553
2012-10-17,0.10827661072644057,2012-10-17,0.08662285655736923
2012-10-18,0.0144652527405158,2012-10-18,0.08117489516735077
2012-10-19,0.0011012569012098794,2012-10-19,0.07729002833366394
2012-10-22,-0.0030115172170643856,2012-10-22,0.05950075387954712
2012-10-23,-0.027237632256219557,2012-10-23,0.009702550247311592
2012-10-24,-0.04085222686398071,2012-10-24,-0.01845649816095829
2012-10-25,-0.03283530973072479,2012-10-25,-0.025927023962140083
2012-10-26,-0.02461751831144643,2012-10-26,-0.02544868178665638
2012-10-31,-0.015317276516905953,2012-10-31,-0.032539598643779755
2012-11-01,-0.02613166392838928,2012-11-01,-0.0587419793009758
2012-11-02,-0.030664524856273134,2012-11-02,-0.06384355574846268
2012-11-05,-0.03805741006788921,2012-11-05,-0.061602652072906494
2012-11-06,-0.050899370718939574,2012-11-06,-0.07027064263820648
2012-11-07,-0.08299656357388319,2012-11-07,-0.0806448832154274
2012-11-08,-0.10414073789829814,2012-11-08,-0.08268782496452332
2012-11-09,-0.09667706644504703,2012-11-09,-0.09682724624872208
2012-11-12,-0.11139875630521234,2012-11-12,-0.12363360822200775
2012-11-13,-0.12027711036360722,2012-11-13,-0.12854261696338654
2012-11-14,-0.13392880843044097,2012-11-14,-0.1396605670452118
2012-11-15,-0.14440185062789157,2012-11-15,-0.14988844096660614
2012-11-16,-0.1422398939695163,2012-11-16,-0.15441294014453888
2012-11-19,-0.12283073853343474,2012-11-19,-0.17053775489330292
2012-11-20,-0.11495528342514427,2012-11-20,-0.1666986495256424
2012-11-21,-0.126727868852459,2012-11-21,-0.17280177772045135
2012-11-23,-0.13030401666558156,2012-11-23,-0.17789529263973236
2012-11-26,-0.1387351006317984,2012-11-26,-0.1746388077735901
2012-11-27,-0.11497149794151795,2012-11-27,-0.16012272238731384
2012-11-28,-0.08119985485626746,2012-11-28,-0.13912811875343323
2012-11-29,-0.07073976576770169,2012-11-29,-0.1348414421081543
2012-11-30,-0.07067387022941396,2012-11-30,-0.13710002601146698
2012-12-03,-0.06646525679758308,2012-12-03,-0.11846940219402313
2012-12-04,-0.06741072633539369,2012-12-04,-0.10457067936658859
2012-12-05,-0.07637975023499399,2012-12-05,-0.10386355966329575
2012-12-06,-0.08518974440429394,2012-12-06,-0.11606094241142273
2012-12-07,-0.015525179856115012,2012-12-07,-0.021753152832388878
2012-12-10,0.005324220067762786,2012-12-10,-0.001725057139992714
2012-12-11,0.02683189178835077,2012-12-11,0.0004628896713256836
2012-12-12,0.025295803630484226,2012-12-12,-0.0031588133424520493
2012-12-13,0.0374984755696941,2012-12-13,0.002614939585328102
2012-12-14,0.03571057601510863,2012-12-14,0.004538624547421932
2012-12-17,0.06758498111530775,2012-12-17,0.012369271367788315
2012-12-18,0.059933182183797395,2012-12-18,0.011387265287339687
2012-12-19,0.04729562675431587,2012-12-19,0.008525443263351917
2012-12-20,0.05006701380106349,2012-12-20,0.01707591861486435
2012-12-21,0.047835890828159755,2012-12-21,0.033830538392066956
2012-12-24,0.04074986798098923,2012-12-24,0.04129285365343094
2012-12-26,0.06258244393812218,2012-12-26,0.06822928786277771
2012-12-27,0.08278526422296828,2012-12-27,0.09332656860351562
2012-12-28,0.05577424852570778,2012-12-28,0.070694200694561
2012-12-31,0.062291635380687715,2012-12-31,0.06044117361307144
2013-01-02,0.0974076144384095,2013-01-02,0.06827621906995773
2013-01-03,0.10898781702551541,2013-01-03,0.08026479929685593
2013-01-04,0.14014460958502006,2013-01-04,0.0929240956902504
2013-01-07,0.1353101146512563,2013-01-07,0.10076982527971268
2013-01-08,0.09740949701441148,2013-01-08,0.0717884749174118
2013-01-09,0.10171798737256887,2013-01-09,0.07639636844396591
2013-01-10,0.1135506930782284,2013-01-10,0.09078124165534973
2013-01-11,0.10781921343772916,2013-01-11,0.09361311793327332
2013-01-14,0.09392724797700969,2013-01-14,0.11065798252820969
2013-01-15,0.08083970717597766,2013-01-15,0.09299157559871674
2013-01-16,0.04610411455819352,2013-01-16,0.06754346191883087
2013-01-17,0.028082498663082323,2013-01-17,0.0476604625582695
2013-01-18,0.008791901141228742,2013-01-18,0.029245873913168907
2013-01-22,0.010960086299892202,2013-01-22,0.025005823001265526
2013-01-23,0.07303590292751405,2013-01-23,0.022354621440172195
2013-01-24,0.09596987583960925,2013-01-24,0.027378832921385765
2013-01-25,0.09048948822942138,2013-01-25,0.030050287023186684
2013-01-28,0.09722161324739487,2013-01-28,0.053338423371315
2013-01-29,0.09958857342943017,2013-01-29,0.06315974146127701
2013-01-30,0.08172138675238205,2013-01-30,0.054904840886592865
2013-01-31,0.08333333333333348,2013-01-31,0.06283142417669296
2013-02-01,0.10374270670271812,2013-02-01,0.06133697181940079
2013-02-04,0.08128175380133884,2013-02-04,0.0718202069401741
2013-02-05,0.062376869502483556,2013-02-05,0.04634135961532593
2013-02-06,0.06809325030856916,2013-02-06,0.05010398477315903
2013-02-07,0.07476635514018692,2013-02-07,0.05523097515106201
2013-02-08,0.0872279749709286,2013-02-08,0.0549507662653923
2013-02-11,0.09333035227701458,2013-02-11,0.07107175141572952
2013-02-12,0.10035236081747723,2013-02-12,0.0858457013964653
2013-02-13,0.10437738936617436,2013-02-13,0.09011565148830414
2013-02-14,0.11543417010010071,2013-02-14,0.0968884825706482
2013-02-15,0.1326838188025885,2013-02-15,0.11018669605255127
2013-02-19,0.1406174898922785,2013-02-19,0.10103970766067505
2013-02-20,0.09569305219495328,2013-02-20,0.08114637434482574
2013-02-21,0.09929940442466867,2013-02-21,0.08503273129463196
2013-02-22,0.08366193747713324,2013-02-22,0.06537339091300964
